timestamp,height,area_3d,leaf_area_index,leaf_inclination,digital_biomass,leaf_angle,proj_area,light_pen_depth,ndvi_aver,greenness_aver,hue_aver,npci_aver,psri_aver,Genotype
11/06/2021 18:18,282719,30492561,303,204651,8620826,29249,14002079,201052,71846,40058,11044827,14871,3342,yolo wonder
11/06/2021 18:18,235673,19949,198,206756,4701450,28923,9198239,170065,73207,44044,11005456,19166,3771,yolo wonder
11/06/2021 18:18,208506,44884559,447,164223,9358721,3751,26833354,121055,71034,44922,10600512,24313,6042,sweet banana
11/06/2021 18:18,224954,48092191,479,151498,10818536,41304,30160096,105201,70299,44404,10442915,25799,6722,sweet banana
11/06/2021 18:18,243476,53083246,528,19898,12924520,30168,2475285,196152,71699,42653,10717324,20808,4781,y19
11/06/2021 18:18,311508,46083906,459,185412,14355486,32637,22643162,278983,69368,41245,10575679,21435,5589,y19
11/06/2021 18:18,247754,45187434,45,151554,11195347,41286,26808367,198714,62193,36889,10178054,22449,8445,y18
11/06/2021 18:18,273007,39076301,389,166825,10668121,36827,21236512,196658,63971,37597,1031647,21023,7543,y18
11/06/2021 18:18,230687,22511691,224,155543,5193155,40008,12717086,19278,7509,417,1101055,15002,3881,y12
11/06/2021 18:18,21651,18184473,181,153231,3937116,40737,10594778,180729,79288,42275,11327201,10661,2003,y12
15/06/2021 08:06,325929,69485477,691,129524,22647346,50538,46431117,248975,68833,38928,108005,1629,4831,Tequila
15/06/2021 08:06,330628,52249965,52,134571,17275310,47995,34680578,202256,71327,38696,11039157,13066,3739,Tequila
15/06/2021 08:06,438947,48695879,485,128618,21374906,51031,28720766,364682,7321,2197,11643484,3105,1137,cgn16951
15/06/2021 08:06,425787,26671451,265,126992,11356360,51947,16867564,355422,73861,19743,12156583,-1445,-298,cgn16951
15/06/2021 08:06,422802,46738906,465,149406,19761280,42013,2553652,362214,76356,30181,11762939,4505,78,gpc020720
15/06/2021 08:06,414065,57335035,57,182768,23740420,33169,27952902,327493,73978,39203,11271542,1083,2492,gpc020720
15/06/2021 08:06,468386,53864027,536,149953,25229136,41825,31005332,397982,69087,3699,11313706,10434,3034,gpc017640
15/06/2021 08:06,32059,40615742,404,124133,13021014,53666,26611037,220901,73969,36657,11501476,7132,1647,gpc017640
15/06/2021 08:06,299417,38134625,379,124894,11418173,53194,23682578,20209,73095,37416,11244194,10357,2593,y24
15/06/2021 08:06,44048,47649781,474,143297,20988798,44254,29722062,358013,72081,3611,11248959,8998,2948,y24
15/06/2021 08:06,382345,41547227,413,142732,15885388,44475,26302674,269616,71911,3698,11277895,9552,3113,yolo wonder
15/06/2021 08:06,371546,13943189,139,16413,51805295,37535,7588909,26123,73056,40031,11247178,12006,2552,yolo wonder
15/06/2021 08:06,376138,53814594,535,145301,20241704,43489,30703576,287381,67126,37453,10605899,17888,5944,y19
15/06/2021 08:06,37346,63340727,63,152227,23655232,41064,34817371,3319,67435,37598,10697101,17104,5282,y19
15/06/2021 08:06,323302,54596695,543,123443,17651220,54104,34951199,228021,63269,34851,10467307,17526,6718,y18
15/06/2021 08:06,32497,50751809,505,128984,16492820,5083,31274719,261579,6193,34506,103311,19485,7753,y18
15/06/2021 08:06,28448,26641168,265,134374,75788855,48088,16422602,238936,70679,33822,11211971,9081,3463,y12
15/06/2021 08:06,2573,15716676,156,140032,404389575,4557,8214565,226185,77124,3627,11635032,5246,854,y12
15/06/2021 08:12,315609,63449188,631,131409,20025128,4955,44508395,211815,68726,38887,10784911,16814,4987,Tequila
